strategy,horizon_years,block_days,metric,statistic,value
LEAPS_95_50_TREASURY_ROLL_9M,30,63,terminal_wealth,p10,9.187425014
LEAPS_95_50_TREASURY_ROLL_9M,30,63,terminal_wealth,p50,100.0369646
LEAPS_95_50_TREASURY_ROLL_9M,30,63,terminal_wealth,p90,1239.496528
LEAPS_95_50_TREASURY_ROLL_9M,30,63,terminal_wealth,p95,2543.908412
LEAPS_95_50_TREASURY_ROLL_9M,30,63,terminal_wealth,mean,700.6867289
LEAPS_95_50_TREASURY,30,63,cagr,p5,0.05265139301
LEAPS_95_50_TREASURY,30,63,cagr,p10,0.07423361057
LEAPS_95_50_TREASURY,30,63,cagr,p50,0.1681550048
LEAPS_95_50_TREASURY,30,63,cagr,p90,0.2746258714
LEAPS_95_50_TREASURY,30,63,cagr,p95,0.3069114214
LEAPS_95_50_TREASURY,30,63,cagr,mean,0.1725197918
LEAPS_95_50_TREASURY,30,63,terminal_wealth,p5,4.66194992
LEAPS_95_50_TREASURY,30,63,terminal_wealth,p10,8.570470514
LEAPS_95_50_TREASURY,30,63,terminal_wealth,p50,105.9513899
LEAPS_95_50_TREASURY,30,63,terminal_wealth,p90,1450.862621
LEAPS_95_50_TREASURY,30,63,terminal_wealth,p95,3072.86742
LEAPS_95_50_TREASURY,30,63,terminal_wealth,mean,850.2060081
LEAPS_95_50_TREASURY_ROLL_18M,30,63,cagr,p5,0.04590598779
LEAPS_95_50_TREASURY_ROLL_18M,30,63,cagr,p10,0.07022570384
LEAPS_95_50_TREASURY_ROLL_18M,30,63,cagr,p50,0.1692733406
LEAPS_95_50_TREASURY_ROLL_18M,30,63,cagr,p90,0.2823448003
LEAPS_95_50_TREASURY_ROLL_18M,30,63,cagr,p95,0.3136322923
LEAPS_95_50_TREASURY_ROLL_18M,30,63,cagr,mean,0.1735196344
LEAPS_95_50_TREASURY_ROLL_18M,30,63,terminal_wealth,p5,3.844202189
LEAPS_95_50_TREASURY_ROLL_18M,30,63,terminal_wealth,p10,7.661285924
LEAPS_95_50_TREASURY_ROLL_18M,30,63,terminal_wealth,p50,109.0371329
LEAPS_95_50_TREASURY_ROLL_18M,30,63,terminal_wealth,p90,1738.971088
LEAPS_95_50_TREASURY_ROLL_18M,30,63,terminal_wealth,p95,3584.071462
LEAPS_95_50_TREASURY_ROLL_18M,30,63,terminal_wealth,mean,996.6072068
