variant,cell,family,regime,moneyness,premium_budget,maturity_months,roll_months,canonical_mean_delta,fixed_budget_mean_delta,delta_ratio,matched_delta_budget,matched_budget_inside_grid,matched_budget_change,treasury_weight,matched_treasury_weight,treasury_weight_change,median_30y_cagr
NDX_80_35_24M_R12,NDX_80_35,NDX,24m/12m,0.8,0.35,24,12,1.076571109,1.076571109,1,0.35,True,0,0.616760053,0.616760053,0,0.1596552202
NDX_80_40_24M_R12,NDX_80_40,NDX,24m/12m,0.8,0.4,24,12,1.218490223,1.218490223,1,0.4,True,0,0.5674882063,0.5674882063,0,0.1688352775
NDX_85_20_15M_R6,NDX_85_20,NDX,15m/6m,0.85,0.2,15,6,0.6931156435,0.7733626718,1.115777257,0.1784499956,False,-0.02155000435,0.7857586661,0.8088431745,0.02308450839,0.132155263
NDX_85_25_15M_R6,NDX_85_25,NDX,15m/6m,0.85,0.25,15,6,0.8547459405,0.9595506348,1.122615024,0.221855137,True,-0.02814486302,0.7350574998,0.7648845813,0.02982708151,0.1462002775
NDX_85_30_15M_R6,NDX_85_30,NDX,15m/6m,0.85,0.3,15,6,1.013023415,1.143845426,1.129140164,0.2645074042,True,-0.0354925958,0.6851703532,0.7224174246,0.03724707133,0.1578032577
NDX_85_35_15M_R6,NDX_85_35,NDX,15m/6m,0.85,0.35,15,6,1.168469494,1.326655935,1.135379179,0.3067348613,True,-0.04326513868,0.6359678301,0.680967551,0.0449997209,0.168096909
NDX_85_40_15M_R6,NDX_85_40,NDX,15m/6m,0.85,0.4,15,6,1.321562366,1.508371998,1.141355139,0.3486068719,True,-0.0513931281,0.5873314736,0.6403522897,0.0530208161,0.1761906993
NDX_85_20_15M_R12,NDX_85_20,NDX,15m/12m,0.85,0.2,15,12,0.6931156435,0.8061595577,1.163095315,0.1700065643,False,-0.02999343572,0.7722402387,0.8063967275,0.03415648881,0.1386766433
NDX_85_25_15M_R12,NDX_85_25,NDX,15m/12m,0.85,0.25,15,12,0.8547459405,0.9946073154,1.163629177,0.2128912075,True,-0.03710879255,0.720590388,0.7620646013,0.04147421331,0.1528636528
NDX_85_30_15M_R12,NDX_85_30,NDX,15m/12m,0.85,0.3,15,12,1.013023415,1.179619111,1.164453944,0.2549770069,True,-0.04502299307,0.6704103985,0.7198740996,0.04946370115,0.1649279435
NDX_85_35_15M_R12,NDX_85_35,NDX,15m/12m,0.85,0.35,15,12,1.168469494,1.361894248,1.165536845,0.2969867821,True,-0.05301321791,0.6214702657,0.6788047779,0.05733451226,0.1751556102
NDX_85_40_15M_R12,NDX_85_40,NDX,15m/12m,0.85,0.4,15,12,1.321562366,1.542076735,1.166858844,0.3389365376,True,-0.06106346238,0.573569081,0.6386674519,0.06509837096,0.1832615643
