series,fund,lag,cost_bps,deployment,cap,harvest,rebalance,reserve_accumulation_trades,reserve_deployment_trades,reserve_rebalance_sell_trades,leverage_state_trades,traded_transition_days,total_charged_transitions,reserve_turnover,risky_sleeve_turnover,net_asset_turnover,sum_dollar_costs,direct_log_cost_drag,direct_wealth_cost_drag,total_trading_cost_drag,cost_cagr_drag
HWM_RESERVE,UPRO,LAG2,25,staged,0.15,0.1,rule,563,104,0,261,862,862,1.257012218,259.0056096,259.8654458,31.09358456,0.6504683766,0.47819868,0.4755138092,0.01908974085
ASYMMETRIC_RESERVE_BAND,UPRO,LAG2,25,staged,0.2,0.1,rule,29,114,0,261,332,332,5.106552839,255.2620856,259.208806,30.01176489,0.648805405,0.4773302173,0.4773187301,0.01916824984
HWM_DRAWDOWN,UPRO,LAG2,25,drawdown,0.15,0.1,rule,594,11,0,261,865,865,1.032916454,240.6006116,241.6328918,28.23594234,0.604778314,0.4538045029,0.4500958898,0.01764617163
BAND_DRAWDOWN,UPRO,LAG2,25,drawdown,0.2,0.1,rule,11,11,0,261,283,283,1.184417322,236.4713123,237.6557296,28.89021285,0.5948118477,0.4483336466,0.4477752266,0.01753491644
SP500_1X,UPRO,LAG2,25,none,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPRO_ALWAYS,UPRO,LAG2,25,none,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPRO_SMA_TO_TBILL,UPRO,LAG2,25,none,0,0,none,0,0,0,261,261,261,0,261,261,24.04654451,0.6533169869,0.4796829736,0.4796829736,0.01908852244
NO_RESERVE,UPRO,LAG2,50,staged,0.15,0.1,rule,0,0,0,261,261,261,0,261,261,36.47945045,1.308273416,0.7297136742,0.7297136742,0.03837814694
FIXED_90_10,UPRO,LAG2,50,staged,0.15,0.1,quarterly,104,0,56,261,417,417,2.0592071,232.4530976,234.4493698,29.44372364,1.174843503,0.6911326872,0.6911326872,0.03423454609
FIXED_85_15,UPRO,LAG2,50,staged,0.15,0.1,quarterly,104,0,56,261,417,417,2.914910818,218.4356488,221.262372,25.94197523,1.108605558,0.6699811675,0.6699811675,0.03218005395
HWM_RESERVE,UPRO,LAG2,50,staged,0.15,0.1,rule,511,104,0,261,810,810,1.14250917,259.109988,259.8759709,36.98156239,1.302606789,0.7281777145,0.7238294847,0.03775983708
ASYMMETRIC_RESERVE_BAND,UPRO,LAG2,50,staged,0.2,0.1,rule,29,114,0,261,332,332,5.107385166,255.263075,259.2108243,35.44325849,1.29919284,0.7272481414,0.7272361281,0.03807321476
HWM_DRAWDOWN,UPRO,LAG2,50,drawdown,0.15,0.1,rule,531,11,0,261,802,802,0.9513296847,241.9727729,242.9234662,35.22399857,1.217437418,0.7040123114,0.693297804,0.03462188272
BAND_DRAWDOWN,UPRO,LAG2,50,drawdown,0.2,0.1,rule,11,11,0,261,283,283,1.186401136,236.5052699,237.691671,35.58214921,1.191153356,0.6961294089,0.695508058,0.03485464526
SP500_1X,UPRO,LAG2,50,none,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPRO_ALWAYS,UPRO,LAG2,50,none,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPRO_SMA_TO_TBILL,UPRO,LAG2,50,none,0,0,none,0,0,0,261,261,261,0,261,261,28.57057096,1.308273416,0.7297136742,0.7297136742,0.0379140394
NO_RESERVE,SSO,LAG1,0,staged,0.15,0.1,rule,0,0,0,261,261,0,0,261,261,0,0,0,0,0
FIXED_90_10,SSO,LAG1,0,staged,0.15,0.1,quarterly,104,0,56,261,417,0,1.457306111,233.5685451,235.0000477,0,0,0,0,0
FIXED_85_15,SSO,LAG1,0,staged,0.15,0.1,quarterly,104,0,56,261,417,0,2.064912631,219.9828587,222.0114154,0,0,0,0,0
HWM_RESERVE,SSO,LAG1,0,staged,0.15,0.1,rule,734,126,0,261,1041,0,1.085817225,259.4585857,260.237645,0,0,0,0,0
ASYMMETRIC_RESERVE_BAND,SSO,LAG1,0,staged,0.2,0.1,rule,32,128,0,261,341,0,5.762044109,255.1199568,259.694435,0,0,0,0,0
HWM_DRAWDOWN,SSO,LAG1,0,drawdown,0.15,0.1,rule,760,11,0,261,1031,0,0.8964127833,243.3592101,244.2549855,0,0,0,0,0
BAND_DRAWDOWN,SSO,LAG1,0,drawdown,0.2,0.1,rule,8,11,0,261,280,0,0.9009750472,241.9246799,242.8256549,0,0,0,0,0
SP500_1X,SSO,LAG1,0,none,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSO_ALWAYS,SSO,LAG1,0,none,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSO_SMA_TO_TBILL,SSO,LAG1,0,none,0,0,none,0,0,0,261,261,0,0,261,261,0,0,0,0,0
NO_RESERVE,SSO,LAG1,10,staged,0.15,0.1,rule,0,0,0,261,261,261,0,261,261,6.302468286,0.2611305871,0.2298196625,0.2298196625,0.007501932706
FIXED_90_10,SSO,LAG1,10,staged,0.15,0.1,quarterly,104,0,56,261,417,417,1.457306111,233.5685451,235.0000477,4.732034942,0.2351046396,0.2095118711,0.2095118711,0.00670287773
FIXED_85_15,SSO,LAG1,10,staged,0.15,0.1,quarterly,104,0,56,261,417,417,2.064912631,219.9828587,222.0114154,4.058241022,0.222104212,0.1991680963,0.1991680963,0.006306537924
HWM_RESERVE,SSO,LAG1,10,staged,0.15,0.1,rule,698,107,0,261,999,999,1.03629601,259.4959033,260.2328273,6.200344662,0.2603619328,0.2292274326,0.2280154874,0.007431162816
