signal,lag,signal_close,execution_close,first_affected_return,into,upro_return,sp500_return,other_signal_state,signals_disagree,audit_period
total_return,2,2010-07-29,2010-07-30,2010-08-02,risk_off,0.06603814486,0.02203876574,0,False,2010
total_return,2,2010-08-02,2010-08-03,2010-08-04,UPRO,0.0193081255,0.006395765912,1,False,2010
total_return,2,2010-08-11,2010-08-12,2010-08-13,risk_off,-0.01185671605,-0.003994208243,0,False,2010
total_return,2,2010-09-10,2010-09-13,2010-09-14,UPRO,-0.002184981263,-0.0007145572788,0,True,2010
total_return,2,2011-08-02,2011-08-03,2011-08-04,risk_off,-0.143382894,-0.04777467358,0,False,2011
total_return,2,2011-10-27,2011-10-28,2011-10-31,UPRO,-0.07442284337,-0.02473434046,1,False,2011
total_return,2,2011-10-31,2011-11-01,2011-11-02,risk_off,0.04835243553,0.01620099278,0,False,2011
total_return,2,2011-11-08,2011-11-09,2011-11-10,UPRO,0.02644946569,0.008760045147,1,False,2011
total_return,2,2011-11-09,2011-11-10,2011-11-11,risk_off,0.05836177475,0.01948956221,0,False,2011
total_return,2,2011-11-11,2011-11-14,2011-11-15,UPRO,0.01510373457,0.004999771484,0,True,2011
total_return,2,2011-11-14,2011-11-15,2011-11-16,risk_off,-0.04921517344,-0.01633229072,0,False,2011
total_return,2,2011-12-05,2011-12-06,2011-12-07,UPRO,0.006919275124,0.002304005599,0,True,2011
total_return,2,2011-12-08,2011-12-09,2011-12-12,risk_off,-0.04472896581,-0.01486885275,0,False,2011
total_return,2,2011-12-09,2011-12-12,2011-12-13,UPRO,-0.0257615317,-0.008489965724,0,True,2011
total_return,2,2011-12-12,2011-12-13,2011-12-14,risk_off,-0.03376809005,-0.0112455789,0,False,2011
total_return,2,2011-12-22,2011-12-23,2011-12-27,UPRO,0.0004884402475,9.668935644e-05,0,True,2011
total_return,2,2012-11-14,2012-11-15,2012-11-16,risk_off,0.01478423015,0.004938104956,0,False,
total_return,2,2012-11-19,2012-11-20,2012-11-21,UPRO,0.006920415275,0.002337141473,1,False,
total_return,2,2014-10-13,2014-10-14,2014-10-15,risk_off,-0.02359706526,-0.008005979053,0,False,
total_return,2,2014-10-20,2014-10-21,2014-10-22,UPRO,-0.02159244265,-0.007185829592,0,True,
total_return,2,2015-08-20,2015-08-21,2015-08-24,risk_off,-0.1184415584,-0.03938556736,0,False,2015-2016
total_return,2,2015-10-22,2015-10-23,2015-10-26,UPRO,-0.005913570887,-0.001905392274,0,True,2015-2016
total_return,2,2015-11-12,2015-11-13,2015-11-16,risk_off,0.04510540938,0.01507848725,0,False,2015-2016
total_return,2,2015-11-16,2015-11-17,2015-11-18,UPRO,0.04864271147,0.01624420626,0,True,2015-2016
total_return,2,2015-12-11,2015-12-14,2015-12-15,risk_off,0.03179806586,0.01062689942,0,False,2015-2016
total_return,2,2015-12-16,2015-12-17,2015-12-18,UPRO,-0.05353728489,-0.01779599394,1,False,2015-2016
total_return,2,2015-12-17,2015-12-18,2015-12-21,risk_off,0.02356902359,0.007895762386,0,False,2015-2016
total_return,2,2015-12-23,2015-12-24,2015-12-28,UPRO,-0.006687402784,-0.002172752728,1,False,2015-2016
total_return,2,2016-01-04,2016-01-05,2016-01-06,risk_off,-0.03836571998,-0.01276129731,0,False,2015-2016
total_return,2,2016-03-11,2016-03-14,2016-03-15,UPRO,-0.005528564249,-0.001820539439,1,False,2015-2016
