variant,cell,family,regime,moneyness,premium_budget,maturity_months,roll_months,cagr,p5,drawdown,tail,resolution,improves,worsens,mixed,unresolved,matched_cagr,matched_p5,matched_drawdown,matched_tail,matched_resolution,matched_improves,matched_worsens,matched_mixed,matched_unresolved,matched_inside_grid
NDX_90_40_15M_R6,NDX_90_40,NDX,15m/6m,0.9,0.4,15,6,0.001986139798,-0.0145022714,-0.07650090729,0.2496,0.01098695282,False,True,False,False,-0.007313838851,-0.007497565324,-0.005287652717,0.01084866654,0.01098695282,False,True,False,False,True
NDX_90_40_15M_R12,NDX_90_40,NDX,15m/12m,0.9,0.4,15,12,0.00814069365,-0.01404952973,-0.09989640948,0.3084,0.01057623901,False,True,False,False,-0.002634003124,-0.00639338997,-0.01369335561,0.03504816683,0.01057623901,False,True,False,False,True
SPX_80_25_15M_R6,SPX_80_25,SPX,15m/6m,0.8,0.25,15,6,0.0008442993941,-0.001817924752,-0.01994619355,0.0092,0.0033189706,False,False,False,True,0.0008442993941,-0.001817924752,-0.01994619355,0.0092,0.0033189706,False,False,False,True,False
SPX_80_25_15M_R12,SPX_80_25,SPX,15m/12m,0.8,0.25,15,12,0.007212822825,0.001865716211,-0.03041575524,0.0126,0.003148444951,False,False,True,False,0.007212822825,0.001865716211,-0.03041575524,0.0126,0.003148444951,False,False,True,False,False
SPX_80_25_18M_R6,SPX_80_25,SPX,18m/6m,0.8,0.25,18,6,-0.00216048386,-0.00312210241,-0.01022659901,0.0056,0.003344668672,False,True,False,False,-0.00216048386,-0.00312210241,-0.01022659901,0.0056,0.003344668672,False,True,False,False,False
SPX_80_25_18M_R12,SPX_80_25,SPX,18m/12m,0.8,0.25,18,12,0.004265064261,0.001198077677,-0.01621608918,0.0078,0.003148444951,True,False,False,False,0.004265064261,0.001198077677,-0.01621608918,0.0078,0.003148444951,True,False,False,False,False
SPX_80_25_24M_R6,SPX_80_25,SPX,24m/6m,0.8,0.25,24,6,-0.006078204805,-0.004249986719,0.005261558795,-0.0002,0.003303502843,False,True,False,False,-0.004738198914,-0.003915550618,-0.0005517435864,0.002187483215,0.003303502843,False,True,False,False,True
SPX_80_25_30M_R12,SPX_80_25,SPX,30m/12m,0.8,0.25,30,12,-0.003294532232,-0.001114258809,0.01420598302,-0.003,0.003167443558,False,True,False,False,0.0005711394354,0.0002748370419,-0.001187000033,0.00122911494,0.003167443558,False,False,False,True,True
SPX_80_25_30M_R18,SPX_80_25,SPX,30m/18m,0.8,0.25,30,18,-0.001545780911,-0.0003052113672,0.006959178528,-0.001,0.003148444951,False,False,False,True,0.0001418084025,0.0002973206991,0.000470510855,0.0006088929923,0.003148444951,False,False,False,True,True
SPX_80_30_15M_R6,SPX_80_30,SPX,15m/6m,0.8,0.3,15,6,0.0009927067834,-0.002528491242,-0.02683335868,0.029,0.003912634799,False,True,False,False,-0.004205669147,-0.003545759524,-0.002684649597,0.01110904532,0.003912634799,False,True,False,False,True
SPX_80_30_15M_R12,SPX_80_30,SPX,15m/12m,0.8,0.3,15,12,0.007653568457,0.001869589224,-0.04008377273,0.0394,0.003707136329,False,False,True,False,0.001592713152,0.0003048940511,-0.01110875227,0.01508746936,0.003707136329,False,False,False,True,True
SPX_80_30_18M_R6,SPX_80_30,SPX,18m/6m,0.8,0.3,18,6,-0.002298010079,-0.003766173306,-0.01494360156,0.0186,0.003961428271,False,True,False,False,-0.005054927208,-0.004339629646,-0.002369985367,0.01072447199,0.003961428271,False,True,False,False,True
SPX_80_30_18M_R12,SPX_80_30,SPX,18m/12m,0.8,0.3,18,12,0.004451866439,0.001406957247,-0.02193755603,0.0216,0.003707136329,False,False,True,False,0.001385040886,0.0005343858204,-0.008092338534,0.01287696128,0.003707136329,False,False,False,True,True
SPX_80_30_24M_R6,SPX_80_30,SPX,24m/6m,0.8,0.3,24,6,-0.007065010425,-0.00469272406,0.00644085457,0.0006,0.003908189875,False,True,False,False,-0.005840186129,-0.004485326971,-3.399468236e-05,0.005943067932,0.003908189875,False,True,False,False,True
